Gene,# Hairpins,NES,Gene rank,p-value,p-value rank
OR9G1,6,0.8902,18300,0.8465,18448
VCX3A,6,0.8902,18301,0.8465,18444
MLLT6,6,0.8903,18302,0.8466,18453
IGFN1,6,0.8903,18303,0.8466,18450
MYOT,6,0.8904,18304,0.8466,18454
NEUROD1,6,0.8905,18305,0.8466,18452
FAM129A,6,0.8906,18306,0.8467,18455
REEP5,6,0.8906,18307,0.8467,18456
hsa-mir-3149,2,0.8907,18308,0.7448,16213
ADCY9,6,0.8909,18309,0.8468,18458
SUOX,6,0.8909,18310,0.8468,18457
NonTargetingControlGuideForHuman_0039,2,0.891,18311,0.7452,16222
NonTargetingControlGuideForHuman_0461,2,0.891,18312,0.7453,16225
TUBA3E,6,0.8911,18313,0.847,18461
KCNMA1,6,0.8912,18314,0.847,18460
F3,6,0.8914,18315,0.847,18459
CT45A3,6,0.8915,18316,0.8471,18466
CLDN24,6,0.8915,18317,0.8471,18469
CT45A2,6,0.8915,18318,0.8471,18468
hsa-mir-891b,4,0.8915,18319,0.832,18099
CT45A1,6,0.8916,18320,0.8471,18467
ORAI2,6,0.8916,18321,0.8471,18462
SSNA1,6,0.8916,18322,0.8471,18463
TMEM220,6,0.8917,18323,0.8471,18470
OR4M1,6,0.8917,18324,0.8471,18472
LOC646498,6,0.8919,18325,0.8471,18471
SLC9A8,6,0.8919,18326,0.8471,18465
hsa-mir-7844,4,0.892,18327,0.8323,18102
BDH2,6,0.8921,18328,0.8471,18464
C6,6,0.8921,18329,0.8472,18473
MISP,6,0.8921,18330,0.8473,18476
C19orf21,6,0.8921,18331,0.8473,18478
MRPS18B,6,0.8922,18332,0.8473,18479
UPF3A,6,0.8923,18333,0.8473,18477
hsa-mir-6756,4,0.8923,18334,0.8324,18105
IGFBP7,6,0.8925,18335,0.8474,18480
KIF21B,6,0.8925,18336,0.8474,18482
TERF2IP,6,0.8925,18337,0.8474,18481
DPPA5,6,0.8926,18338,0.8475,18488
TREML2,6,0.8926,18339,0.8475,18486
RPGR,6,0.8928,18340,0.8475,18489
ATE1,6,0.8929,18341,0.8475,18487
SOWAHB,6,0.8929,18342,0.8475,18485
KRTDAP,5,0.8931,18343,0.8371,18222
TAP1,6,0.8932,18344,0.8479,18491
AP3D1,6,0.8934,18345,0.8482,18493
NonTargetingControlGuideForHuman_0923,2,0.8935,18346,0.7495,16307
PRMT10,6,0.8935,18347,0.8483,18496
FAM86A,6,0.8935,18348,0.8483,18497
ALKBH6,6,0.8937,18349,0.8484,18498
KTI12,6,0.8937,18350,0.8485,18501
hsa-mir-3606,4,0.8937,18351,0.8336,18133
hsa-mir-214,4,0.8937,18352,0.8336,18134
PCDHB12,6,0.8938,18353,0.8485,18502
MAPK12,6,0.8938,18354,0.8485,18500
AGTR2,6,0.8939,18355,0.8485,18499
ASB8,6,0.894,18356,0.8486,18505
HMGA2,6,0.894,18357,0.8486,18504
NPDC1,6,0.894,18358,0.8486,18503
hsa-mir-6792,4,0.8941,18359,0.8338,18137
PABPC3,6,0.8941,18360,0.8486,18506
NonTargetingControlGuideForHuman_0945,2,0.8942,18361,0.751,16338
MAPK3,6,0.8943,18362,0.8486,18507
hsa-mir-302b,4,0.8944,18363,0.8339,18138
FBXO15,6,0.8944,18364,0.8487,18508
ZDHHC9,6,0.8944,18365,0.8487,18511
hsa-mir-6769b,4,0.8945,18366,0.8339,18139
FOXN1,6,0.8946,18367,0.8487,18510
MAPK11,6,0.8947,18368,0.8487,18509
NonTargetingControlGuideForHuman_0222,2,0.8948,18369,0.7519,16347
COMMD1,6,0.8949,18370,0.8488,18514
C4orf48,6,0.8951,18371,0.8488,18512
hsa-mir-8064,4,0.8951,18372,0.8343,18146
CCNE1,6,0.8952,18373,0.8488,18513
FLNA,6,0.8952,18374,0.8489,18518
NonTargetingControlGuideForHuman_0028,2,0.8953,18375,0.7527,16358
NFX1,6,0.8953,18376,0.8489,18515
C3orf22,6,0.8954,18377,0.8489,18516
RESP18,6,0.8954,18378,0.8489,18517
NonTargetingControlGuideForHuman_0345,2,0.8955,18379,0.7529,16362
OR2AK2,6,0.8955,18380,0.849,18519
GAS6,6,0.8955,18381,0.849,18520
CX3CL1,6,0.8957,18382,0.8491,18522
EXOC6,6,0.8958,18383,0.8491,18521
hsa-mir-664b,4,0.896,18384,0.8347,18165
hsa-mir-3136,4,0.896,18385,0.8347,18157
NonTargetingControlGuideForHuman_0678,2,0.896,18386,0.7535,16369
PRR5-ARHGAP8,6,0.8961,18387,0.8492,18523
COMMD7,6,0.8961,18388,0.8492,18525
HRH4,6,0.8961,18389,0.8492,18526
KIAA1430,6,0.8962,18390,0.8492,18524
hsa-mir-372,4,0.8962,18391,0.8349,18178
GJB3,6,0.8963,18392,0.8493,18528
NonTargetingControlGuideForHuman_0180,2,0.8964,18393,0.7547,16393
ATP5B,6,0.8965,18394,0.8495,18530
ERO1L,6,0.8965,18395,0.8495,18529
TOPAZ1,6,0.8965,18396,0.8496,18531
EEF1A2,6,0.8967,18397,0.8498,18532
MAP1LC3B,6,0.8968,18398,0.8499,18535
hsa-mir-371b,4,0.8969,18399,0.8352,18181
C19orf52,6,0.8969,18400,0.8499,18534
hsa-mir-129-1,4,0.8971,18401,0.8352,18180
VTI1B,6,0.8972,18402,0.85,18536
DEFB103B,6,0.8974,18403,0.8501,18540
DEFB103A,6,0.8975,18404,0.8501,18539
NonTargetingControlGuideForHuman_0973,2,0.8975,18405,0.7568,16456
C3orf37,6,0.8976,18406,0.8501,18537
PPP3CC,6,0.8976,18407,0.8501,18538
NonTargetingControlGuideForHuman_0282,2,0.8978,18408,0.7574,16465
NonTargetingControlGuideForHuman_0597,2,0.8978,18409,0.7574,16464
OR2G3,6,0.8978,18410,0.8503,18543
RNF149,6,0.898,18411,0.8504,18544
EBPL,6,0.8981,18412,0.8504,18549
POLR2J,6,0.8982,18413,0.8504,18547
NonTargetingControlGuideForHuman_0384,2,0.8982,18414,0.7578,16473
MSRB2,6,0.8983,18415,0.8504,18545
AGO3,6,0.8983,18416,0.8504,18546
PIK3CA,6,0.8983,18417,0.8504,18548
SERPINA4,6,0.8983,18418,0.8505,18550
NTN3,6,0.8984,18419,0.8505,18551
IRF2BP2,6,0.8984,18420,0.8506,18555
SPATA31D1,6,0.8984,18421,0.8506,18552
LRRC32,6,0.8985,18422,0.8506,18553
MRPS28,6,0.8985,18423,0.8506,18554
KBTBD8,6,0.8986,18424,0.8507,18556
ERLIN2,6,0.8986,18425,0.8508,18558
WNT16,6,0.8988,18426,0.8508,18557
NKX2-1,6,0.899,18427,0.8509,18563
AQP8,6,0.8991,18428,0.8509,18565
GNL1,6,0.8991,18429,0.8509,18567
RGSL1,6,0.8992,18430,0.8509,18559
SNX16,6,0.8992,18431,0.8509,18566
AP2M1,6,0.8993,18432,0.8509,18561
HIVEP3,6,0.8993,18433,0.8509,18564
LGI3,6,0.8994,18434,0.8509,18562
PALLD,6,0.8995,18435,0.8509,18560
NonTargetingControlGuideForHuman_0085,2,0.8995,18436,0.7597,16507
hsa-mir-4260,4,0.8997,18437,0.8374,18227
OR5R1,6,0.8999,18438,0.8515,18570
TMEM200B,6,0.9,18439,0.8515,18569
HIST1H2BK,6,0.9,18440,0.8516,18573
hsa-mir-101-2,4,0.9001,18441,0.8375,18232
CTRB2,6,0.9001,18442,0.8516,18571
PPP3R2,6,0.9001,18443,0.8516,18572
CASP14,6,0.9001,18444,0.8516,18574
NonTargetingControlGuideForHuman_0874,2,0.9002,18445,0.7605,16523
KIAA0586,4,0.9003,18446,0.8375,18231
CA3,6,0.9004,18447,0.8517,18576
KRTAP19-3,6,0.9005,18448,0.8518,18581
FAF2,6,0.9005,18449,0.8518,18579
FBXO30,6,0.9005,18450,0.8518,18578
CACNA1A,6,0.9006,18451,0.8518,18580
KHDRBS1,6,0.9008,18452,0.8519,18582
hsa-mir-187,4,0.9008,18453,0.8376,18234
NonTargetingControlGuideForHuman_0005,2,0.9008,18454,0.7615,16541
TBX4,6,0.9008,18455,0.852,18583
GPC3,6,0.9009,18456,0.852,18585
HES3,6,0.9009,18457,0.852,18584
EXTL1,6,0.9011,18458,0.8521,18587
MCIDAS,6,0.9012,18459,0.8521,18586
NonTargetingControlGuideForHuman_0535,2,0.9012,18460,0.7623,16564
ARHGAP36,6,0.9012,18461,0.8521,18588
C11orf93,6,0.9013,18462,0.8522,18589
RRAGA,6,0.9014,18463,0.8522,18590
RAD18,6,0.9014,18464,0.8523,18591
UQCRC1,6,0.9015,18465,0.8524,18593
EML5,6,0.9015,18466,0.8524,18592
NAT8L,6,0.9016,18467,0.8524,18595
AVIL,6,0.9017,18468,0.8525,18598
ATM,6,0.9017,18469,0.8525,18600
hsa-mir-1262,4,0.9017,18470,0.8381,18248
ADAMTSL5,6,0.9017,18471,0.8525,18597
SSR4,6,0.9019,18472,0.8525,18599
NonTargetingControlGuideForHuman_0129,2,0.9019,18473,0.7634,16590
UBAP1,6,0.9021,18474,0.8526,18604
GNE,6,0.9022,18475,0.8526,18601
MRPS18A,6,0.9022,18476,0.8526,18606
hsa-mir-320a,4,0.9022,18477,0.8384,18254
CHID1,6,0.9023,18478,0.8527,18609
DNAH12,6,0.9023,18479,0.8527,18607
SLC43A1,6,0.9023,18480,0.8527,18608
HAS3,6,0.9025,18481,0.8528,18611
GPX7,6,0.9025,18482,0.8528,18612
hsa-mir-6888,4,0.9026,18483,0.8386,18257
KAT2A,6,0.9026,18484,0.8528,18610
ZNF561,6,0.9027,18485,0.8529,18621
hsa-mir-4322,4,0.9027,18486,0.8387,18258
PIGL,6,0.903,18487,0.8529,18623
ZSCAN32,6,0.9031,18488,0.8529,18619
NonTargetingControlGuideForHuman_0479,2,0.9031,18489,0.7655,16623
ANKRD1,6,0.9032,18490,0.8529,18613
VKORC1L1,6,0.9032,18491,0.8529,18622
SLC24A1,6,0.9032,18492,0.8529,18614
GAGE7,6,0.9032,18493,0.8529,18615
SPATA24,6,0.9032,18494,0.8529,18618
GAGE6,6,0.9032,18495,0.8529,18616
GAGE5,6,0.9032,18496,0.8529,18617
EIF3E,6,0.9033,18497,0.853,18624
GAGE2C,6,0.9033,18498,0.853,18625
NonTargetingControlGuideForHuman_0814,2,0.9033,18499,0.7657,16628
GAGE2B,6,0.9033,18500,0.853,18626
GAGE12I,6,0.9034,18501,0.8531,18633
TCF7L1,6,0.9034,18502,0.8531,18639
UBXN11,6,0.9034,18503,0.8531,18638
GAGE12G,6,0.9034,18504,0.8531,18627
GAGE12F,6,0.9034,18505,0.8531,18629
GAGE12E,6,0.9034,18506,0.8531,18628
GAGE12D,6,0.9035,18507,0.8531,18631
GAGE12C,6,0.9035,18508,0.8531,18630
SLC41A3,6,0.9035,18509,0.8531,18635
MGP,6,0.9035,18510,0.8531,18637
GAGE12B,6,0.9035,18511,0.8531,18632
CSNK2A2,6,0.9035,18512,0.8531,18636
FASN,6,0.9036,18513,0.8532,18646
TSTD1,6,0.9038,18514,0.8532,18643
NonTargetingControlGuideForHuman_0065,2,0.9038,18515,0.7665,16645
WFDC10A,6,0.9038,18516,0.8532,18644
C15orf32,6,0.9038,18517,0.8532,18645
hsa-mir-1278,3,0.9039,18518,0.8241,17887
NonTargetingControlGuideForHuman_0613,2,0.9039,18519,0.7668,16653
PLAC4,6,0.9041,18520,0.8532,18647
DYNLL2,6,0.9041,18521,0.8532,18642
NonTargetingControlGuideForHuman_0301,2,0.9041,18522,0.7671,16655
FDXACB1,6,0.9042,18523,0.8532,18640
HGD,6,0.9045,18524,0.8532,18641
NonTargetingControlGuideForHuman_0253,2,0.9047,18525,0.768,16669
GIMAP8,6,0.9047,18526,0.8534,18650
hsa-mir-3123,4,0.9048,18527,0.8401,18277
LDHA,6,0.9048,18528,0.8534,18649
GALNT3,6,0.9049,18529,0.8536,18655
CTAGE4,6,0.9049,18530,0.8536,18656
CRAT,6,0.905,18531,0.8536,18653
HBG2,6,0.905,18532,0.8536,18654
NPPB,6,0.905,18533,0.8536,18652
GBP6,6,0.9053,18534,0.8537,18657
NonTargetingControlGuideForHuman_0145,2,0.9054,18535,0.7689,16685
SPANXE,6,0.9054,18536,0.8538,18658
NonTargetingControlGuideForHuman_0846,2,0.9054,18537,0.7689,16684
CORO2B,6,0.9055,18538,0.854,18659
NonTargetingControlGuideForHuman_0123,2,0.906,18539,0.7696,16695
GBP3,6,0.906,18540,0.8546,18672
BATF3,6,0.9061,18541,0.8546,18674
KLRC1,6,0.9062,18542,0.8546,18669
LOC200726,6,0.9062,18543,0.8546,18675
OR2A5,6,0.9062,18544,0.8546,18673
CRTC3,6,0.9063,18545,0.8546,18671
hsa-mir-6499,4,0.9063,18546,0.8413,18321
CXXC5,6,0.9063,18547,0.8546,18676
NEU1,6,0.9064,18548,0.8546,18668
HNRNPA3,6,0.9064,18549,0.8546,18670
TMSB15A,5,0.9064,18550,0.8466,18451
ACTB,6,0.9065,18551,0.8547,18678
ATHL1,6,0.9066,18552,0.8547,18681
TRAPPC3L,6,0.9067,18553,0.8547,18679
NARS2,6,0.9068,18554,0.8547,18684
JMJD7-PLA2G4B,6,0.9069,18555,0.8547,18683
JMJD7,6,0.9069,18556,0.8547,18682
CXCL6,6,0.907,18557,0.8547,18680
IL13RA1,6,0.9071,18558,0.8547,18677
ZZEF1,6,0.9072,18559,0.8548,18690
BBS12,6,0.9072,18560,0.8548,18691
VSTM2A,6,0.9073,18561,0.8548,18688
ZDHHC19,6,0.9073,18562,0.8548,18686
hsa-mir-4705,4,0.9074,18563,0.8417,18327
NonTargetingControlGuideForHuman_0083,2,0.9074,18564,0.7709,16722
SLC16A2,6,0.9074,18565,0.8548,18695
NOG,6,0.9075,18566,0.8548,18689
P2RX3,6,0.9075,18567,0.8548,18693
CKM,6,0.9075,18568,0.8548,18685
GLIS1,6,0.9075,18569,0.8548,18687
PHF20L1,6,0.9075,18570,0.8548,18692
TCEANC2,6,0.9076,18571,0.8548,18694
RNASEK,6,0.9078,18572,0.8549,18698
NUTM2A,6,0.9078,18573,0.8549,18697
ENGASE,6,0.908,18574,0.8549,18696
FAM115C,6,0.908,18575,0.8551,18700
ABCC12,6,0.908,18576,0.8551,18701
C10orf11,6,0.9083,18577,0.8553,18705
SPEF1,6,0.9083,18578,0.8553,18703
MRPL10,6,0.9083,18579,0.8553,18706
PPCS,6,0.9083,18580,0.8553,18704
RCC1,6,0.9083,18581,0.8553,18707
LANCL3,6,0.9084,18582,0.8554,18709
hsa-mir-4535,4,0.9085,18583,0.8422,18343
NCAPG2,6,0.9087,18584,0.8556,18710
SIMC1,6,0.9089,18585,0.8557,18718
NonTargetingControlGuideForHuman_0675,2,0.9089,18586,0.7732,16773
NonTargetingControlGuideForHuman_0035,2,0.909,18587,0.7732,16774
NonTargetingControlGuideForHuman_0221,2,0.909,18588,0.7733,16778
NonTargetingControlGuideForHuman_0794,2,0.909,18589,0.7734,16781
COX20,6,0.9091,18590,0.8557,18714
CHERP,6,0.9092,18591,0.8557,18716
NonTargetingControlGuideForHuman_0905,2,0.9092,18592,0.7735,16782
KPRP,6,0.9092,18593,0.8557,18713
CAPZB,6,0.9093,18594,0.8557,18715
TBC1D14,6,0.9093,18595,0.8557,18717
TRIB3,6,0.9095,18596,0.8557,18711
PAPSS1,6,0.9095,18597,0.8557,18712
COMMD2,6,0.9097,18598,0.8558,18720
METTL7A,6,0.9098,18599,0.8558,18719
CALCA,6,0.91,18600,0.8559,18723
hsa-mir-664a,4,0.9102,18601,0.8432,18366
CLPTM1,6,0.9103,18602,0.8559,18722
LDLRAD2,6,0.9103,18603,0.8559,18725
MRGPRF,6,0.9103,18604,0.8559,18721
C2orf48,6,0.9104,18605,0.8559,18724
CDV3,6,0.9104,18606,0.8559,18726
NonTargetingControlGuideForHuman_0082,2,0.9106,18607,0.7761,16832
SPANXB2,6,0.9108,18608,0.8564,18730
SPANXB1,6,0.9108,18609,0.8564,18729
NonTargetingControlGuideForHuman_0612,2,0.9109,18610,0.7767,16851
CNIH3,6,0.911,18611,0.8565,18733
RFX1,6,0.9111,18612,0.8565,18735
SMLR1,6,0.9111,18613,0.8565,18734
NonTargetingControlGuideForHuman_0723,2,0.9113,18614,0.7772,16863
GNRH2,6,0.9113,18615,0.8565,18732
LAT2,6,0.9113,18616,0.8565,18731
ABCA8,6,0.9113,18617,0.8565,18737
RPL13,6,0.9115,18618,0.8566,18738
C1QL3,6,0.9115,18619,0.8566,18739
GAL,6,0.9115,18620,0.8567,18740
SMG7,6,0.9115,18621,0.8567,18741
TMEM132A,6,0.9117,18622,0.8568,18743
ZNF750,6,0.9118,18623,0.8568,18742
ZNF683,6,0.9121,18624,0.8572,18745
NonTargetingControlGuideForHuman_0198,2,0.9121,18625,0.7787,16893
hsa-mir-575,4,0.9122,18626,0.8448,18406
NonTargetingControlGuideForHuman_0167,2,0.9125,18627,0.7793,16902
hsa-mir-550b-1,4,0.9126,18628,0.8449,18412
hsa-mir-550a-1,4,0.9126,18629,0.8449,18413
TMEM88B,6,0.9126,18630,0.8578,18748
OR3A3,6,0.9127,18631,0.8578,18749
hsa-mir-6887,4,0.9127,18632,0.8449,18409
hsa-mir-601,4,0.9129,18633,0.845,18417
NonTargetingControlGuideForHuman_0902,2,0.9129,18634,0.7801,16918
hsa-mir-151a,4,0.9129,18635,0.845,18416
BMP8A,6,0.9131,18636,0.8582,18751
FGFBP3,6,0.9131,18637,0.8582,18752
SLC22A17,6,0.9132,18638,0.8582,18754
PTPRD,6,0.9132,18639,0.8582,18750
COLCA2,6,0.9132,18640,0.8582,18753
GPR61,6,0.9132,18641,0.8584,18755
hsa-mir-133b,4,0.9132,18642,0.8452,18421
NOS1,6,0.9133,18643,0.8584,18756
ATP6V0D2,6,0.9134,18644,0.8585,18757
RBP7,6,0.9135,18645,0.8586,18758
TMEM167B,6,0.9135,18646,0.8586,18759
hsa-mir-449c,4,0.9135,18647,0.8455,18424
NAA10,6,0.9137,18648,0.8588,18760
NonTargetingControlGuideForHuman_0422,2,0.9137,18649,0.7818,16962
KRTAP4-7,6,0.914,18650,0.8589,18762
HRC,6,0.9141,18651,0.8589,18761
ZFP106,6,0.9141,18652,0.8589,18763
PKP4,6,0.9143,18653,0.859,18765
EHD1,6,0.9145,18654,0.8592,18767
GZMM,6,0.9145,18655,0.8592,18766
LPCAT4,6,0.9145,18656,0.8593,18768
CREB1,6,0.9146,18657,0.8593,18769
TNFAIP1,6,0.9147,18658,0.8594,18778
CIDEC,6,0.9147,18659,0.8594,18776
PTH1R,6,0.9147,18660,0.8594,18770
MOGAT1,6,0.9147,18661,0.8594,18772
GPSM1,6,0.9147,18662,0.8594,18771
EYA1,6,0.9147,18663,0.8594,18774
hsa-mir-7856,4,0.9147,18664,0.8465,18446
ASCL4,6,0.9147,18665,0.8594,18775
PCNT,6,0.9148,18666,0.8594,18777
hsa-mir-7152,4,0.9148,18667,0.8465,18445
CCDC92,6,0.9148,18668,0.8594,18773
FAM189B,6,0.9149,18669,0.8596,18779
MMS19,6,0.9149,18670,0.8596,18783
NonTargetingControlGuideForHuman_0211,2,0.915,18671,0.7837,17007
LILRA6,6,0.915,18672,0.8596,18782
AMIGO2,6,0.915,18673,0.8596,18780
CCDC67,6,0.9151,18674,0.8596,18781
GMCL1,6,0.9152,18675,0.8597,18785
ARG1,6,0.9153,18676,0.8597,18788
NonTargetingControlGuideForHuman_0618,2,0.9154,18677,0.7847,17017
SERPINH1,6,0.9154,18678,0.8597,18787
KCMF1,6,0.9155,18679,0.8597,18784
MBOAT1,6,0.9155,18680,0.8597,18786
UEVLD,6,0.9156,18681,0.8597,18789
hsa-mir-4755,4,0.9157,18682,0.8473,18475
ATAD2,6,0.9157,18683,0.86,18792
FGFR4,6,0.9157,18684,0.86,18793
MS4A3,6,0.916,18685,0.8602,18794
OR6N2,6,0.916,18686,0.8602,18795
MYL6B,6,0.9161,18687,0.8603,18797
NT5DC3,6,0.9163,18688,0.8603,18798
ELOF1,6,0.9163,18689,0.8604,18799
NonTargetingControlGuideForHuman_0611,2,0.9163,18690,0.786,17033
GABRR2,6,0.9164,18691,0.8605,18800
C9orf131,6,0.9165,18692,0.8606,18802
LCK,6,0.9165,18693,0.8607,18803
TMEM55B,6,0.9166,18694,0.8608,18809
C2,6,0.9166,18695,0.8608,18805
WFDC12,6,0.9168,18696,0.8608,18810
BMX,6,0.9168,18697,0.8608,18804
ODF3L2,6,0.9168,18698,0.8608,18807
PSORS1C1,6,0.917,18699,0.8608,18808
NonTargetingControlGuideForHuman_0115,2,0.9171,18700,0.7869,17049
SIVA1,6,0.9172,18701,0.861,18811
GTSF1,6,0.9173,18702,0.861,18816
RRM2B,6,0.9173,18703,0.861,18817
THUMPD1,6,0.9174,18704,0.861,18815
NonTargetingControlGuideForHuman_0828,2,0.9174,18705,0.7875,17058
RSPH10B2,6,0.9174,18706,0.861,18812
LAIR1,6,0.9174,18707,0.861,18814
CH25H,6,0.9175,18708,0.861,18813
NEDD8-MDP1,6,0.9176,18709,0.861,18818
NonTargetingControlGuideForHuman_0146,2,0.9177,18710,0.788,17069
MFHAS1,6,0.9178,18711,0.8613,18819
KDM2B,6,0.9179,18712,0.8613,18820
MKRN1,6,0.918,18713,0.8614,18821
ATP5J2,6,0.9181,18714,0.8615,18822
TPCN1,6,0.9181,18715,0.8615,18823
hsa-mir-3918,4,0.9181,18716,0.8493,18527
CCDC121,6,0.9181,18717,0.8615,18824
NonTargetingControlGuideForHuman_0683,2,0.9181,18718,0.7894,17103
INPP5B,6,0.9183,18719,0.8616,18826
LTBP3,6,0.9184,18720,0.8616,18825
NonTargetingControlGuideForHuman_0692,2,0.9186,18721,0.7898,17104
ARMCX4,6,0.9186,18722,0.8617,18831
SATB1,6,0.9187,18723,0.8617,18830
NonTargetingControlGuideForHuman_0791,2,0.9187,18724,0.79,17117
DTX2,6,0.9187,18725,0.8617,18829
HS3ST1,6,0.9188,18726,0.8617,18827
SLC25A26,6,0.9188,18727,0.8617,18828
SLAMF1,6,0.919,18728,0.8618,18833
C17orf50,6,0.919,18729,0.8618,18832
NonTargetingControlGuideForHuman_0048,2,0.9191,18730,0.7907,17149
CCR3,6,0.9192,18731,0.862,18836
hsa-mir-3155b,4,0.9192,18732,0.8502,18542
NonTargetingControlGuideForHuman_0689,2,0.9192,18733,0.7909,17153
TXLNG,6,0.9192,18734,0.862,18834
hsa-mir-3155a,4,0.9192,18735,0.8502,18541
USP33,6,0.9193,18736,0.8622,18839
CHD6,6,0.9194,18737,0.8622,18837
SRGAP3,6,0.9194,18738,0.8622,18838
ACAT1,6,0.9196,18739,0.8622,18840
DHX34,6,0.9196,18740,0.8623,18846
ARHGAP18,6,0.9196,18741,0.8623,18848
ALG11,6,0.9197,18742,0.8623,18843
SLC7A13,6,0.9197,18743,0.8623,18841
CALM3,6,0.9199,18744,0.8623,18847
NonTargetingControlGuideForHuman_0398,2,0.92,18745,0.7923,17192
FAM183A,6,0.92,18746,0.8623,18842
ADH1B,6,0.9201,18747,0.8623,18849
KRTAP13-2,6,0.9201,18748,0.8623,18845
OR10AG1,6,0.9202,18749,0.8623,18844
ZNF263,6,0.9202,18750,0.8623,18850
UBD,6,0.9203,18751,0.8624,18852
RNF215,6,0.9203,18752,0.8624,18851
NonTargetingControlGuideForHuman_0419,2,0.9205,18753,0.7931,17209
hsa-mir-4329,4,0.9207,18754,0.8514,18568
hsa-mir-6765,4,0.9209,18755,0.8516,18575
CD69,6,0.9211,18756,0.8628,18855
NonTargetingControlGuideForHuman_0998,2,0.9213,18757,0.7945,17255
MOS,6,0.9214,18758,0.863,18856
NonTargetingControlGuideForHuman_0537,2,0.9216,18759,0.7956,17285
MYOM2,6,0.9218,18760,0.8632,18859
CHPF,6,0.9218,18761,0.8632,18857
NonTargetingControlGuideForHuman_0780,2,0.9219,18762,0.7961,17295
TMED10,6,0.9219,18763,0.8632,18858
MUC2,6,0.922,18764,0.8633,18861
hsa-mir-6764,4,0.922,18765,0.8524,18594
DNAJB11,6,0.9221,18766,0.8634,18870
MEST,6,0.9221,18767,0.8634,18862
SMCR9,6,0.9221,18768,0.8634,18866
PQLC2,6,0.9221,18769,0.8634,18871
CAMK2N2,6,0.9221,18770,0.8634,18869
NonTargetingControlGuideForHuman_0721,2,0.9221,18771,0.7965,17298
CIB4,6,0.9222,18772,0.8634,18863
LAMA5,6,0.9222,18773,0.8634,18867
TPGS1,6,0.9223,18774,0.8634,18868
MIXL1,6,0.9223,18775,0.8634,18864
CASQ2,6,0.9224,18776,0.8634,18872
hsa-mir-4734,4,0.9225,18777,0.8525,18596
LDB2,6,0.9226,18778,0.8634,18865
NonTargetingControlGuideForHuman_0044,2,0.9226,18779,0.7974,17311
PSG5,6,0.9227,18780,0.8636,18876
DACT2,6,0.9227,18781,0.8636,18877
IL17F,6,0.9227,18782,0.8636,18878
PGAM5,6,0.9227,18783,0.8636,18875
hsa-mir-451b,4,0.9227,18784,0.8526,18602
hsa-mir-451a,4,0.9228,18785,0.8526,18603
NonTargetingControlGuideForHuman_0393,2,0.9228,18786,0.7977,17315
NonTargetingControlGuideForHuman_0602,2,0.9228,18787,0.7977,17314
ITPKA,6,0.923,18788,0.8637,18879
TGM1,6,0.923,18789,0.8637,18880
WDR16,6,0.9232,18790,0.8638,18881
hsa-mir-153-2,4,0.9233,18791,0.8529,18620
PFDN2,6,0.9234,18792,0.8639,18882
UBE2H,6,0.9234,18793,0.8639,18883
ZNF703,6,0.9235,18794,0.864,18885
hsa-mir-4508,4,0.9236,18795,0.8531,18634
HELQ,6,0.9236,18796,0.864,18884
SOX8,6,0.9237,18797,0.8642,18888
ECHS1,6,0.9237,18798,0.8642,18887
NAT10,6,0.9238,18799,0.8643,18891
HMX2,6,0.9238,18800,0.8643,18890
hsa-mir-6126,4,0.9238,18801,0.8532,18648
NonTargetingControlGuideForHuman_0294,2,0.924,18802,0.8,17344
IFNAR2,6,0.924,18803,0.8643,18889
NonTargetingControlGuideForHuman_0848,2,0.9241,18804,0.8001,17345
PRH1,6,0.9241,18805,0.8644,18892
NonTargetingControlGuideForHuman_0268,2,0.9242,18806,0.8004,17350
TREM2,6,0.9243,18807,0.8646,18893
OCEL1,6,0.9244,18808,0.8647,18896
FBXL19,6,0.9244,18809,0.8647,18895
NAGK,6,0.9246,18810,0.8647,18897
CALCOCO2,6,0.9247,18811,0.865,18898
hsa-mir-5702,4,0.9248,18812,0.8543,18665
TF,6,0.9248,18813,0.8652,18900
hsa-mir-337,4,0.9249,18814,0.8543,18666
hsa-mir-3126,4,0.925,18815,0.8543,18664
NonTargetingControlGuideForHuman_0758,2,0.925,18816,0.801,17366
PTK7,6,0.9251,18817,0.8653,18903
SET,6,0.9252,18818,0.8653,18904
SATB2,6,0.9256,18819,0.8655,18906
hsa-mir-5705,4,0.9257,18820,0.855,18699
NRG4,6,0.9257,18821,0.8657,18908
SLC35E2,6,0.9258,18822,0.8657,18907
DOCK3,6,0.9259,18823,0.8659,18910
NonTargetingControlGuideForHuman_0833,2,0.926,18824,0.8036,17424
ATF4,6,0.9262,18825,0.866,18913
EPHA6,6,0.9263,18826,0.866,18912
PRAMEF17,6,0.9264,18827,0.8661,18915
WDR91,6,0.9264,18828,0.8661,18914
TXNDC9,6,0.9267,18829,0.8662,18917
BNC1,6,0.9269,18830,0.8663,18919
OR5L1,6,0.9272,18831,0.8665,18922
NonTargetingControlGuideForHuman_0273,2,0.9272,18832,0.805,17457
RNF31,6,0.9272,18833,0.8666,18923
FBXO9,6,0.9273,18834,0.8666,18929
STRA13,6,0.9274,18835,0.8666,18925
SORBS2,6,0.9276,18836,0.8666,18930
CERS6,6,0.9276,18837,0.8666,18928
PPP2R2A,6,0.9277,18838,0.8666,18924
RPS27,6,0.9277,18839,0.8666,18926
